DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,Sexo,Edad,Ocupacion
600454,237,1,1,1,62.951236987,Hombre,58,Trabajando
600454,237,2,1,2,62.951236987,Mujer,56,Oficios del hogar
600454,237,3,1,3,62.951236987,Mujer,31,Oficios del hogar
600454,237,4,1,4,62.951236987,Mujer,5,
600454,237,5,1,5,62.951236987,Mujer,23,Oficios del hogar
600454,237,6,1,6,62.951236987,Hombre,2,
600455,237,1,1,1,71.25121901,Mujer,45,Trabajando
600455,237,2,1,2,71.25121901,Hombre,23,Trabajando
600455,237,3,1,3,71.25121901,Hombre,10,
600456,237,1,1,1,69.89909325,Hombre,67,Ocio
600456,237,2,1,2,69.89909325,Mujer,68,Oficios del hogar
600456,237,3,1,3,69.89909325,Mujer,44,Trabajando
600456,237,4,1,4,69.89909325,Hombre,22,Estudiando
600456,237,5,1,5,69.89909325,Mujer,12,
600457,237,1,1,1,106.54753946,Hombre,83,Incapacitado permanente para trabajar
600458,237,1,1,1,66.989114836,Hombre,45,Trabajando
600458,237,2,1,2,66.989114836,Mujer,38,Oficios del hogar
600458,237,3,1,3,66.989114836,Mujer,16,Estudiando
600458,237,4,1,4,66.989114836,Hombre,11,
600459,237,1,1,1,89.699137975,Mujer,76,Incapacitado permanente para trabajar
600460,237,1,1,1,72.618027574,Mujer,51,Trabajando
600460,237,2,1,2,72.618027574,Hombre,25,Trabajando
600461,237,1,1,1,61.150800833,Mujer,29,Trabajando
600461,237,2,1,2,61.150800833,Hombre,14,
600461,237,3,1,3,61.150800833,Hombre,11,
600461,237,4,1,4,61.150800833,Hombre,7,
600461,237,5,1,5,61.150800833,Hombre,4,
600462,237,1,1,1,76.807230185,Mujer,55,Oficios del hogar
600462,237,2,1,2,76.807230185,Hombre,17,Estudiando
600462,237,3,1,3,76.807230185,Hombre,14,
600463,237,1,1,1,60.171611607,Mujer,59,Oficios del hogar
600463,237,2,1,2,60.171611607,Mujer,40,Trabajando
600464,237,1,1,1,80.206783854,Mujer,42,Trabajando
600464,237,2,1,2,80.206783854,Hombre,40,Trabajando
600464,237,3,1,3,80.206783854,Mujer,24,Estudiando
600464,237,4,1,4,80.206783854,Hombre,3,
600464,237,5,1,5,80.206783854,Hombre,23,Estudiando
600465,237,1,1,1,85.454966452,Mujer,59,Oficios del hogar
600465,237,2,1,2,85.454966452,Hombre,54,Otra actividad
600465,237,3,1,3,85.454966452,Hombre,23,Trabajando
600465,237,4,1,4,85.454966452,Hombre,22,Trabajando
600466,237,1,1,1,73.485396052,Mujer,41,Oficios del hogar
600466,237,2,1,2,73.485396052,Mujer,12,
600467,237,1,1,1,97.892159362,Mujer,35,Trabajando
600467,237,2,1,2,97.892159362,Hombre,46,Trabajando
600467,237,3,1,3,97.892159362,Mujer,9,
600467,237,4,1,4,97.892159362,Mujer,5,
600468,237,1,1,1,115.84369009,Hombre,44,Trabajando
600469,237,1,1,1,112.69558294,Hombre,47,Trabajando
600469,237,2,1,2,112.69558294,Mujer,22,Oficios del hogar
600469,237,3,1,3,112.69558294,Mujer,18,Estudiando
600469,237,4,1,4,112.69558294,Hombre,17,Estudiando
600470,237,1,1,1,88.845421207,Mujer,66,Oficios del hogar
600470,237,2,1,2,88.845421207,Mujer,33,Trabajando
600470,237,3,1,3,88.845421207,Hombre,1,
600471,237,1,1,1,101.99760416,Hombre,38,Trabajando
600471,237,2,1,2,101.99760416,Mujer,32,Oficios del hogar
600471,237,3,1,3,101.99760416,Mujer,6,
600471,237,4,1,4,101.99760416,Hombre,3,
600472,237,1,1,1,112.03652755,Hombre,37,Trabajando
600472,237,2,1,2,112.03652755,Mujer,37,Oficios del hogar
600472,237,3,1,3,112.03652755,Mujer,20,Buscando trabajo
600472,237,4,1,4,112.03652755,Hombre,9,
600472,237,5,1,5,112.03652755,Hombre,30,Trabajando
600473,237,1,1,1,95.96218986,Mujer,29,Trabajando
600473,237,2,1,2,95.96218986,Hombre,5,
600474,237,1,1,1,699.27880019,Hombre,68,Trabajando
600474,237,2,1,2,699.27880019,Mujer,70,Oficios del hogar
600474,237,3,1,3,699.27880019,Hombre,36,Buscando trabajo
600475,237,1,1,1,498.100298,Hombre,40,Trabajando
600476,237,1,1,1,592.50524488,Mujer,61,Oficios del hogar
600477,237,1,1,1,465.45977559,Hombre,50,Trabajando
600477,237,2,1,2,465.45977559,Mujer,51,Oficios del hogar
600477,237,3,1,3,465.45977559,Mujer,15,Estudiando
600478,237,1,1,1,980.70849496,Hombre,56,Buscando trabajo
600478,237,2,1,2,980.70849496,Mujer,61,Trabajando
600479,237,1,1,1,958.28892069,Hombre,59,Trabajando
600480,237,1,1,1,154.7096311,Hombre,48,Trabajando
600480,237,2,1,2,154.7096311,Mujer,46,Trabajando
600480,237,3,1,3,154.7096311,Hombre,19,Estudiando
600480,237,4,1,4,154.7096311,Mujer,15,Estudiando
600480,237,5,1,5,154.7096311,Hombre,14,
600481,237,1,1,1,73.223817497,Hombre,32,Trabajando
600481,237,2,1,2,73.223817497,Mujer,42,Oficios del hogar
600481,237,3,1,3,73.223817497,Hombre,17,Estudiando
600482,237,1,1,1,50.14414006,Hombre,72,Trabajando
600482,237,2,1,2,50.14414006,Mujer,70,Trabajando
600483,237,1,1,1,1274.140925,Mujer,61,Oficios del hogar
600483,237,2,1,2,1274.140925,Hombre,57,Trabajando
600483,237,3,1,3,1274.140925,Hombre,101,Incapacitado permanente para trabajar
600484,237,1,1,1,1223.1194727,Hombre,57,Trabajando
600484,237,2,1,2,1223.1194727,Mujer,57,Oficios del hogar
600485,237,1,1,1,1215.0906465,Mujer,42,Trabajando
600485,237,2,1,2,1215.0906465,Mujer,12,
600486,237,1,1,1,1149.9566633,Mujer,45,Trabajando
600486,237,2,1,2,1149.9566633,Hombre,18,Estudiando
600487,237,1,1,1,632.93293105,Mujer,87,Incapacitado permanente para trabajar
600488,237,1,1,1,794.03231265,Hombre,34,Trabajando
600488,237,2,1,2,794.03231265,Mujer,27,Estudiando
600488,237,3,1,3,794.03231265,Mujer,2,
600489,237,1,1,1,819.31022794,Hombre,35,Trabajando
600490,237,1,1,1,819.31022794,Hombre,35,Trabajando
600491,237,1,1,1,819.31022794,Hombre,27,Trabajando
600492,237,1,1,1,819.31022794,Hombre,44,Trabajando
600493,237,1,1,1,819.31022794,Hombre,43,Trabajando
600494,237,1,1,1,660.48451528,Mujer,70,Oficios del hogar
600494,237,2,1,2,660.48451528,Hombre,74,Pensionado
600495,237,1,1,1,1057.1138738,Mujer,46,Trabajando
600495,237,2,1,2,1057.1138738,Hombre,18,Estudiando
600495,237,3,1,3,1057.1138738,Mujer,16,Estudiando
600496,237,1,1,1,632.93293105,Mujer,73,Oficios del hogar
600497,237,1,1,1,1599.668404,Mujer,18,Trabajando
600497,237,2,1,2,1599.668404,Hombre,19,Trabajando
600498,237,1,1,1,767.19143157,Mujer,59,Trabajando
600499,237,1,1,1,1170.8100112,Hombre,48,Trabajando
600499,237,2,1,2,1170.8100112,Mujer,47,Oficios del hogar
600499,237,3,1,3,1170.8100112,Hombre,29,Trabajando
600499,237,4,1,4,1170.8100112,Hombre,3,
600500,237,1,1,1,1167.0550525,Hombre,33,Buscando trabajo
600500,237,2,1,2,1167.0550525,Mujer,29,Trabajando
600500,237,3,1,3,1167.0550525,Hombre,11,
600500,237,4,1,4,1167.0550525,Hombre,9,
600501,237,1,1,1,88.664457144,Mujer,32,Trabajando
600501,237,2,1,2,88.664457144,Hombre,10,
600502,237,1,1,1,77.721611778,Mujer,93,Otra actividad
600502,237,2,1,2,77.721611778,Hombre,68,Trabajando
600502,237,3,1,3,77.721611778,Mujer,33,Otra actividad
600502,237,4,1,4,77.721611778,Mujer,9,
600503,237,1,1,1,111.44773433,Hombre,78,Oficios del hogar
600503,237,2,1,2,111.44773433,Mujer,16,Estudiando
600504,237,1,1,1,159.98498227,Hombre,26,Trabajando
600504,237,2,1,2,159.98498227,Mujer,24,Trabajando
600504,237,3,1,3,159.98498227,Mujer,20,Trabajando
600504,237,4,1,4,159.98498227,Mujer,22,Trabajando
600505,237,1,1,1,141.60467725,Hombre,52,Trabajando
600505,237,2,1,2,141.60467725,Mujer,7,
600506,237,1,1,1,177.27605688,Hombre,63,Trabajando
600506,237,2,1,2,177.27605688,Mujer,62,Oficios del hogar
600506,237,3,1,3,177.27605688,Hombre,28,Trabajando
600507,237,1,1,1,127.26583283,Mujer,74,Otra actividad
600508,237,1,1,1,64.164032997,Mujer,54,Oficios del hogar
600509,237,1,1,1,207.85601099,Mujer,58,Oficios del hogar
600509,237,2,1,2,207.85601099,Hombre,29,Trabajando
600509,237,3,1,3,207.85601099,Hombre,27,Trabajando
600510,237,1,1,1,183.51655038,Hombre,62,Otra actividad
600510,237,2,1,2,183.51655038,Mujer,44,Oficios del hogar
600510,237,3,1,3,183.51655038,Hombre,10,
600511,237,1,1,1,152.78185754,Mujer,24,Oficios del hogar
600511,237,2,1,2,152.78185754,Hombre,7,
600511,237,3,1,3,152.78185754,Mujer,5,
600512,237,1,1,1,173.86033537,Mujer,31,Trabajando
600512,237,2,1,2,173.86033537,Hombre,31,Trabajando
600512,237,3,1,3,173.86033537,Hombre,13,
600512,237,4,1,4,173.86033537,Mujer,3,
600513,237,1,1,1,155.37310224,Mujer,56,Trabajando
600513,237,2,1,2,155.37310224,Hombre,17,Otra actividad
600514,237,1,1,1,81.169292838,Hombre,59,Trabajando
600514,237,2,1,2,81.169292838,Mujer,58,Trabajando
600514,237,3,1,3,81.169292838,Hombre,32,Trabajando
600514,237,4,1,4,81.169292838,Mujer,32,Otra actividad
600514,237,5,1,5,81.169292838,Hombre,0,
600514,237,6,1,6,81.169292838,Mujer,76,Oficios del hogar
600514,237,7,1,7,81.169292838,Mujer,80,Oficios del hogar
600515,237,1,1,1,107.05132106,Mujer,26,Oficios del hogar
600515,237,2,1,2,107.05132106,Hombre,59,Trabajando
600515,237,3,1,3,107.05132106,Hombre,9,
600516,237,1,1,1,117.01002431,Mujer,74,Pensionado
600516,237,2,1,2,117.01002431,Hombre,36,Trabajando
600517,237,1,1,1,74.537466702,Mujer,71,Oficios del hogar
600517,237,2,1,2,74.537466702,Mujer,80,Oficios del hogar
600519,237,1,1,1,108.90133945,Hombre,27,Trabajando
600519,237,2,1,2,108.90133945,Mujer,25,Trabajando
600519,237,3,1,3,108.90133945,Mujer,8,
600520,237,1,1,1,173.86033537,Mujer,26,Oficios del hogar
600520,237,2,1,2,173.86033537,Hombre,30,Trabajando
600520,237,3,1,3,173.86033537,Hombre,9,
600520,237,4,1,4,173.86033537,Mujer,5,
600521,237,1,1,1,96.724862339,Mujer,36,Oficios del hogar
600521,237,2,1,2,96.724862339,Hombre,6,
600522,237,1,1,1,86.772158749,Mujer,56,Trabajando
600523,237,1,1,1,114.47541489,Hombre,19,Trabajando
600523,237,2,1,2,114.47541489,Mujer,17,Estudiando
600524,237,1,1,1,148.10796847,Hombre,53,Buscando trabajo
600524,237,2,1,2,148.10796847,Mujer,48,Buscando trabajo
600524,237,3,1,3,148.10796847,Hombre,23,Trabajando
600524,237,4,1,4,148.10796847,Hombre,19,Estudiando
600525,237,2,1,2,119.85689218,Mujer,30,Trabajando
600525,237,1,1,1,119.85689218,Hombre,30,Trabajando
600526,237,1,1,1,139.54725917,Hombre,30,Trabajando
600526,237,2,1,2,139.54725917,Hombre,29,Trabajando
600527,237,1,1,1,119.52908651,Hombre,64,Incapacitado permanente para trabajar
600527,237,2,1,2,119.52908651,Mujer,56,Oficios del hogar
600527,237,3,1,3,119.52908651,Hombre,24,Trabajando
600528,237,1,1,1,138.57067399,Mujer,72,Oficios del hogar
600528,237,2,1,2,138.57067399,Hombre,47,Incapacitado permanente para trabajar
600528,237,3,1,3,138.57067399,Hombre,29,Trabajando
600529,237,1,1,1,80.559603272,Hombre,66,Otra actividad
600529,237,2,1,2,80.559603272,Mujer,61,Oficios del hogar
600529,237,3,1,3,80.559603272,Mujer,28,Trabajando
600529,237,4,1,4,80.559603272,Mujer,24,Trabajando
600529,237,5,1,5,80.559603272,Mujer,32,Trabajando
600529,237,6,1,6,80.559603272,Mujer,9,
600530,237,2,1,2,102.16402995,Hombre,70,Pensionado
600530,237,3,1,3,102.16402995,Mujer,37,Trabajando
600530,237,4,1,4,102.16402995,Hombre,9,
600530,237,5,1,5,102.16402995,Hombre,3,
600530,237,1,1,1,102.16402995,Mujer,38,Trabajando
600531,237,2,1,2,197.7638721,Mujer,46,Oficios del hogar
600531,237,1,1,1,197.7638721,Hombre,46,Trabajando
600532,237,10,1,10,94.804584351,Mujer,6,
600532,237,11,1,11,94.804584351,Hombre,2,
600532,237,1,1,1,94.804584351,Mujer,56,Oficios del hogar
600532,237,2,1,2,94.804584351,Hombre,56,Trabajando
600532,237,3,1,3,94.804584351,Mujer,24,Buscando trabajo
600532,237,4,1,4,94.804584351,Hombre,19,Trabajando
600532,237,5,1,5,94.804584351,Mujer,29,Buscando trabajo
600532,237,6,1,6,94.804584351,Hombre,34,Trabajando
600532,237,7,1,7,94.804584351,Hombre,5,
600532,237,8,1,8,94.804584351,Hombre,5,
600532,237,9,1,9,94.804584351,Mujer,28,Oficios del hogar
600533,237,1,1,1,95.769213675,Hombre,41,Trabajando
600533,237,2,1,2,95.769213675,Mujer,37,Oficios del hogar
600533,237,3,1,3,95.769213675,Mujer,13,
600533,237,4,1,4,95.769213675,Mujer,8,
600534,237,1,1,1,104.9589163,Hombre,31,Trabajando
600534,237,2,1,2,104.9589163,Mujer,58,Oficios del hogar
600534,237,3,1,3,104.9589163,Mujer,13,
600535,237,1,1,1,112.79401374,Hombre,32,Trabajando
600535,237,2,1,2,112.79401374,Mujer,28,Oficios del hogar
600535,237,3,1,3,112.79401374,Hombre,11,
600535,237,4,1,4,112.79401374,Hombre,8,
600536,237,1,1,1,86.772158749,Mujer,69,Oficios del hogar
600537,237,1,1,1,206.88289835,Hombre,45,Trabajando
600538,237,1,1,1,91.885757418,Mujer,74,Oficios del hogar
600538,237,2,1,2,91.885757418,Hombre,31,Incapacitado permanente para trabajar
600538,237,3,1,3,91.885757418,Hombre,14,
600538,237,4,1,4,91.885757418,Mujer,11,
600539,237,1,1,1,191.96444863,Mujer,42,Trabajando
600539,237,2,1,2,191.96444863,Hombre,19,Trabajando
600539,237,3,1,3,191.96444863,Mujer,17,Estudiando
600539,237,4,1,4,191.96444863,Hombre,22,Trabajando
600540,237,1,1,1,97.945786713,Hombre,35,Trabajando
600540,237,2,1,2,97.945786713,Mujer,32,Oficios del hogar
600540,237,3,1,3,97.945786713,Mujer,12,
600540,237,4,1,4,97.945786713,Mujer,7,
600541,237,1,1,1,62.876107381,Hombre,77,Trabajando
600541,237,2,1,2,62.876107381,Mujer,68,Oficios del hogar
600541,237,3,1,3,62.876107381,Mujer,36,Trabajando
600541,237,4,1,4,62.876107381,Mujer,14,
600541,237,5,1,5,62.876107381,Mujer,10,
600541,237,6,1,6,62.876107381,Mujer,8,
600542,237,1,1,1,98.023935338,Mujer,37,Trabajando
600542,237,2,1,2,98.023935338,Mujer,16,Estudiando
600542,237,3,1,3,98.023935338,Hombre,11,
600543,237,1,1,1,120.28027354,Hombre,84,Ocio
600544,237,1,1,1,138.50552624,Hombre,48,Incapacitado permanente para trabajar
600544,237,2,1,2,138.50552624,Mujer,43,Oficios del hogar
600544,237,3,1,3,138.50552624,Hombre,22,Buscando trabajo
600544,237,4,1,4,138.50552624,Hombre,21,Buscando trabajo
600544,237,5,1,5,138.50552624,Hombre,16,Estudiando
600544,237,6,1,6,138.50552624,Hombre,11,
600545,237,1,1,1,97.945786713,Hombre,43,Trabajando
600545,237,2,1,2,97.945786713,Mujer,37,Trabajando
600545,237,3,1,3,97.945786713,Mujer,13,
600545,237,4,1,4,97.945786713,Mujer,6,
600546,237,1,1,1,113.1941434,Mujer,82,Oficios del hogar
600546,237,2,1,2,113.1941434,Hombre,62,Trabajando
600546,237,3,1,3,113.1941434,Hombre,57,Trabajando
600547,237,1,1,1,54.085783535,Mujer,61,Trabajando
600547,237,2,1,2,54.085783535,Mujer,21,Trabajando
600547,237,3,1,3,54.085783535,Hombre,15,Estudiando
600547,237,4,1,4,54.085783535,Mujer,14,
600548,237,1,1,1,139.88086416,Hombre,69,Pensionado
600548,237,2,1,2,139.88086416,Hombre,43,Trabajando
600549,237,1,1,1,87.31628774,Mujer,47,Trabajando
600549,237,2,1,2,87.31628774,Mujer,13,
600550,237,1,1,1,120.6816907,Hombre,41,Trabajando
600551,237,1,1,1,99.019015976,Hombre,62,Trabajando
600551,237,2,1,2,99.019015976,Mujer,66,Oficios del hogar
600552,237,1,1,1,72.534095564,Mujer,33,Trabajando
600552,237,2,1,2,72.534095564,Hombre,14,
600552,237,3,1,3,72.534095564,Hombre,12,
600552,237,4,2,1,72.534095564,Mujer,74,Oficios del hogar
600553,237,1,1,1,106.57466052,Mujer,65,Oficios del hogar
600553,237,2,1,2,106.57466052,Mujer,42,Trabajando
600553,237,3,1,3,106.57466052,Mujer,26,Trabajando
600553,237,4,1,4,106.57466052,Hombre,18,Estudiando
600553,237,5,1,5,106.57466052,Hombre,16,Estudiando
600553,237,6,1,6,106.57466052,Hombre,26,Trabajando
600553,237,7,1,7,106.57466052,Hombre,1,
600554,237,1,1,1,98.028383746,Mujer,48,Trabajando
600555,237,1,1,1,92.072949476,Mujer,83,Pensionado
600555,237,2,1,2,92.072949476,Hombre,20,Estudiando
600556,237,1,1,1,135.9426807,Hombre,45,Trabajando
600556,237,2,1,2,135.9426807,Mujer,42,Trabajando
600556,237,3,1,3,135.9426807,Mujer,20,Trabajando
600556,237,4,1,4,135.9426807,Hombre,18,Estudiando
600556,237,5,1,5,135.9426807,Hombre,17,Trabajando
600557,237,2,1,2,121.15596518,Hombre,45,Trabajando
600557,237,3,1,3,121.15596518,Mujer,18,Estudiando
600557,237,1,1,1,121.15596518,Mujer,41,Trabajando
600558,237,1,1,1,165.99196811,Hombre,20,Estudiando
600559,237,3,1,3,91.198179764,Hombre,14,
600559,237,1,1,1,91.198179764,Mujer,52,Oficios del hogar
600559,237,2,1,2,91.198179764,Mujer,28,Oficios del hogar
600560,237,1,1,1,84.787212848,Hombre,80,Pensionado
600560,237,2,1,2,84.787212848,Mujer,65,Oficios del hogar
600560,237,3,1,3,84.787212848,Mujer,28,Buscando trabajo
600560,237,4,1,4,84.787212848,Mujer,1,
600561,237,1,1,1,57.336512847,Mujer,56,Oficios del hogar
600561,237,2,1,2,57.336512847,Mujer,62,Oficios del hogar
600562,237,1,1,1,81.876945198,Mujer,81,Oficios del hogar
600562,237,2,1,2,81.876945198,Mujer,21,Estudiando
600562,237,3,1,3,81.876945198,Mujer,19,Trabajando
600562,237,4,1,4,81.876945198,Hombre,17,Trabajando
600563,237,1,1,1,74.537466702,Mujer,67,Pensionado
600563,237,2,1,2,74.537466702,Mujer,79,Oficios del hogar
600564,237,1,1,1,113.12518474,Mujer,61,Trabajando
600565,237,1,1,1,94.346240566,Mujer,30,Trabajando
600565,237,2,1,2,94.346240566,Hombre,11,
600565,237,3,1,3,94.346240566,Mujer,2,
600566,237,1,1,1,137.37112918,Mujer,32,Oficios del hogar
600566,237,2,1,2,137.37112918,Hombre,35,Trabajando
600566,237,3,1,3,137.37112918,Hombre,8,
600566,237,4,1,4,137.37112918,Mujer,0,
600567,237,1,1,1,152.76878278,Hombre,62,Trabajando
600567,237,2,1,2,152.76878278,Mujer,59,Trabajando
600567,237,3,1,3,152.76878278,Hombre,24,Buscando trabajo
600567,237,4,1,4,152.76878278,Hombre,22,Trabajando
600567,237,5,1,5,152.76878278,Hombre,20,Trabajando
600568,237,1,1,1,124.06717318,Mujer,29,Trabajando
600569,237,1,1,1,107.67328841,Hombre,42,Trabajando
600569,237,2,1,2,107.67328841,Mujer,45,Trabajando
600569,237,3,1,3,107.67328841,Hombre,20,Trabajando
600570,237,1,1,1,62.405346298,Mujer,59,Trabajando
600570,237,2,1,2,62.405346298,Hombre,34,Trabajando
600571,237,1,1,1,62.405346298,Mujer,62,Pensionado
600571,237,2,1,2,62.405346298,Hombre,34,Trabajando
600572,237,1,1,1,82.409435915,Mujer,59,Trabajando
600572,237,2,1,2,82.409435915,Hombre,60,Ocio
600572,237,3,1,3,82.409435915,Hombre,30,Trabajando
600572,237,4,1,4,82.409435915,Hombre,26,Estudiando
600573,237,1,1,1,48.258392027,Hombre,77,Oficios del hogar
600573,237,2,1,2,48.258392027,Mujer,70,Oficios del hogar
600573,237,3,1,3,48.258392027,Mujer,70,Oficios del hogar
600574,237,1,1,1,134.99932409,Mujer,24,Trabajando
600574,237,2,1,2,134.99932409,Hombre,3,
600575,237,1,1,1,73.921627989,Hombre,36,Trabajando
600575,237,2,1,2,73.921627989,Mujer,89,Pensionado
600575,237,3,1,3,73.921627989,Mujer,59,Trabajando
600576,237,2,1,2,102.2746482,Mujer,73,Oficios del hogar
600576,237,3,1,3,102.2746482,Hombre,40,Trabajando
600576,237,1,1,1,102.2746482,Hombre,89,Incapacitado permanente para trabajar
600577,237,1,1,1,113.32606173,Mujer,47,Oficios del hogar
600577,237,2,1,2,113.32606173,Hombre,50,Trabajando
600577,237,3,1,3,113.32606173,Mujer,30,Trabajando
600577,237,4,1,4,113.32606173,Hombre,27,Estudiando
600578,237,1,1,1,58.817030248,Mujer,44,Oficios del hogar
600579,237,1,1,1,82.877204141,Hombre,27,Trabajando
600579,237,2,1,2,82.877204141,Mujer,26,Oficios del hogar
600579,237,3,1,3,82.877204141,Mujer,6,
600579,237,4,1,4,82.877204141,Mujer,4,
600580,237,1,1,1,138.67854733,Mujer,60,Trabajando
600580,237,2,1,2,138.67854733,Hombre,30,Trabajando
600581,237,1,1,1,70.91042275,Hombre,65,Trabajando
600581,237,2,1,2,70.91042275,Mujer,55,Trabajando
600581,237,3,1,3,70.91042275,Hombre,27,Trabajando
600582,237,1,1,1,82.063440309,Hombre,50,Trabajando
600582,237,2,1,2,82.063440309,Hombre,85,Incapacitado permanente para trabajar
600583,237,1,1,1,81.360853469,Mujer,58,Oficios del hogar
600583,237,2,1,2,81.360853469,Hombre,19,Trabajando
600583,237,3,1,3,81.360853469,Mujer,14,
600584,237,1,1,1,110.50967667,Mujer,52,Oficios del hogar
600584,237,2,1,2,110.50967667,Mujer,1,
600585,237,1,1,1,64.650908634,Hombre,45,Trabajando
600585,237,2,1,2,64.650908634,Mujer,48,Trabajando
600585,237,3,1,3,64.650908634,Mujer,19,Estudiando
600585,237,4,1,4,64.650908634,Mujer,14,
600586,237,1,1,1,60.646465365,Mujer,31,Trabajando
600586,237,2,1,2,60.646465365,Mujer,11,
600586,237,3,1,3,60.646465365,Mujer,30,Trabajando
600586,237,4,1,4,60.646465365,Hombre,26,Trabajando
600587,237,1,1,1,88.211868095,Mujer,38,Trabajando
600587,237,2,1,2,88.211868095,Mujer,13,
600587,237,3,1,3,88.211868095,Hombre,10,
600587,237,4,1,4,88.211868095,Mujer,7,
600587,237,5,1,5,88.211868095,Hombre,5,
600588,237,1,1,1,92.222126214,Hombre,59,Trabajando
600588,237,2,1,2,92.222126214,Mujer,35,Trabajando
600588,237,3,1,3,92.222126214,Mujer,17,Estudiando
600588,237,4,1,4,92.222126214,Hombre,14,
600588,237,5,1,5,92.222126214,Hombre,11,
600589,237,1,1,1,92.686421008,Hombre,46,Pensionado
600589,237,2,1,2,92.686421008,Mujer,45,Trabajando
600589,237,3,1,3,92.686421008,Mujer,22,Ocio
600589,237,4,1,4,92.686421008,Hombre,16,Estudiando
600589,237,5,1,5,92.686421008,Mujer,63,Oficios del hogar
600590,237,1,1,1,59.411409585,Hombre,70,Oficios del hogar
600590,237,2,1,2,59.411409585,Mujer,67,Oficios del hogar
600591,237,1,1,1,59.411409585,Hombre,55,Trabajando
600591,237,2,1,2,59.411409585,Mujer,59,Oficios del hogar
600592,237,4,1,4,46.499511094,Mujer,27,Trabajando
600592,237,5,1,5,46.499511094,Mujer,7,
600592,237,1,1,1,46.499511094,Hombre,67,Trabajando
600592,237,2,1,2,46.499511094,Mujer,66,Oficios del hogar
600592,237,3,1,3,46.499511094,Mujer,47,Oficios del hogar
600593,237,1,1,1,59.411409585,Mujer,69,Pensionado
600593,237,2,1,2,59.411409585,Hombre,64,Incapacitado permanente para trabajar
600594,237,1,1,1,101.77561607,Hombre,66,Trabajando
600595,237,1,1,1,95.769213675,Hombre,32,Trabajando
600595,237,2,1,2,95.769213675,Mujer,28,Oficios del hogar
600595,237,3,1,3,95.769213675,Mujer,12,
600595,237,4,1,4,95.769213675,Mujer,1,
600596,237,1,1,1,118.18403792,Hombre,86,Pensionado
600596,237,2,1,2,118.18403792,Mujer,75,Oficios del hogar
600596,237,3,1,3,118.18403792,Hombre,51,Trabajando
600597,237,1,1,1,63.1544668,Hombre,22,Trabajando
600597,237,2,1,2,63.1544668,Mujer,25,Oficios del hogar
600598,237,1,1,1,73.348544744,Hombre,61,Trabajando
600598,237,2,1,2,73.348544744,Mujer,57,Otra actividad
600598,237,3,1,3,73.348544744,Mujer,31,Buscando trabajo
600598,237,4,1,4,73.348544744,Hombre,7,
600598,237,5,1,5,73.348544744,Mujer,48,Oficios del hogar
600599,237,1,1,1,47.664012689,Mujer,68,Oficios del hogar
600599,237,2,1,2,47.664012689,Mujer,44,Trabajando
600600,237,1,1,1,98.881936048,Mujer,48,Oficios del hogar
600600,237,2,1,2,98.881936048,Hombre,31,Trabajando
600601,237,1,1,1,95.394158148,Hombre,52,Trabajando
600601,237,2,1,2,95.394158148,Mujer,42,Oficios del hogar
600601,237,3,1,3,95.394158148,Mujer,27,Trabajando
600601,237,4,1,4,95.394158148,Mujer,15,Estudiando
600602,237,1,1,1,103.02834689,Hombre,29,Trabajando
600602,237,2,1,2,103.02834689,Mujer,32,Oficios del hogar
600602,237,3,1,3,103.02834689,Hombre,9,
600602,237,4,1,4,103.02834689,Mujer,5,
600603,237,1,1,1,71.587030968,Mujer,96,Oficios del hogar
600604,237,1,1,1,99.019015976,Hombre,57,Trabajando
600604,237,2,1,2,99.019015976,Mujer,59,Trabajando
600605,237,1,1,1,89.882704161,Mujer,47,Oficios del hogar
600605,237,2,1,2,89.882704161,Mujer,22,Trabajando
600605,237,3,1,3,89.882704161,Hombre,20,Trabajando
600606,237,1,1,1,98.023935338,Mujer,47,Trabajando
600606,237,2,1,2,98.023935338,Mujer,17,Estudiando
600606,237,3,1,3,98.023935338,Hombre,13,
600607,237,2,1,2,97.945786713,Mujer,34,Oficios del hogar
600607,237,3,1,3,97.945786713,Mujer,9,
600607,237,4,1,4,97.945786713,Mujer,2,
600607,237,1,1,1,97.945786713,Hombre,34,Trabajando
600608,237,1,1,1,99.717781992,Hombre,62,Incapacitado permanente para trabajar
600608,237,2,1,2,99.717781992,Mujer,60,Oficios del hogar
600608,237,3,1,3,99.717781992,Hombre,33,Trabajando
600609,237,1,1,1,79.440021148,Mujer,72,Oficios del hogar
600609,237,2,1,2,79.440021148,Mujer,30,Trabajando
600610,237,1,1,1,127.25024994,Hombre,51,Trabajando
600610,237,2,1,2,127.25024994,Mujer,37,Oficios del hogar
600610,237,3,1,3,127.25024994,Hombre,20,Estudiando
600611,237,1,1,1,44.391342709,Mujer,52,Oficios del hogar
600611,237,2,1,2,44.391342709,Mujer,27,Trabajando
600611,237,3,1,3,44.391342709,Mujer,4,
600611,237,4,1,4,44.391342709,Mujer,4,
600611,237,5,1,5,44.391342709,Mujer,68,Oficios del hogar
600612,237,1,1,1,100.64889697,Mujer,31,Oficios del hogar
600612,237,2,1,2,100.64889697,Hombre,11,
600612,237,3,1,3,100.64889697,Hombre,0,
600613,237,1,1,1,108.90133945,Hombre,37,Trabajando
